"date","benchmark_MKT_RF_contrib","benchmark_SMB_contrib","benchmark_HML_contrib","benchmark_MOM_contrib","dynamic_logit_MKT_RF_contrib","dynamic_logit_SMB_contrib","dynamic_logit_HML_contrib","dynamic_logit_MOM_contrib","dynamic_xgboost_MKT_RF_contrib","dynamic_xgboost_SMB_contrib","dynamic_xgboost_HML_contrib","dynamic_xgboost_MOM_contrib"
2013-11-30,0.007775,0.003275,0.000475,0.000975,0.00933,0.003275,0.000285,0.00117,0.00933,0.003275,0.000285,0.00117
2013-12-31,0.007025,-0.0011,0,5e-05,0.00843,-0.0011,0,6e-05,0.00843,-0.0011,0,6e-05
2014-01-31,-0.0083,0.002325,-0.004975,0.004025,-0.00996,0.002325,-0.002985,0.00483,-0.00996,0.002325,-0.002985,0.00483
2014-02-28,0.01165,9e-04,-0.000875,0.005325,0.01398,9e-04,-0.000525,0.00639,0.01398,9e-04,-0.000525,0.00639
2014-03-31,0.001075,-0.00465,0.01225,-0.008175,0.00129,-0.00465,0.00735,-0.00981,0.00129,-0.00465,0.00735,-0.00981
2014-04-30,-0.00045,-0.01045,0.00305,-0.00955,-0.00054,-0.01045,0.00183,-0.01146,-0.00054,-0.01045,0.00183,-0.01146
2014-05-31,0.005125,-0.004625,-0.00025,0.002225,0.00615,-0.004625,-0.00015,0.00267,0.00615,-0.004625,-0.00015,0.00267
2014-06-30,0.0065,0.007625,-0.001775,0.001625,0.0078,0.007625,-0.001065,0.00195,0.0078,0.007625,-0.001065,0.00195
2014-07-31,-0.005075,-0.01045,-2e-04,-0.000425,-0.00609,-0.01045,-0.00012,-0.00051,-0.00609,-0.01045,-0.00012,-0.00051
2014-08-31,0.0106,0.001025,-0.001425,0.002075,0.01272,0.001025,-0.000855,0.00249,0.01272,0.001025,-0.000855,0.00249
2014-09-30,-0.0049,-0.008975,-0.003675,0.0015,-0.00588,-0.008975,-0.002205,0.0018,-0.00588,-0.008975,-0.002205,0.0018
2014-10-31,0.006275,0.010125,-0.004075,-0.000525,0.00753,0.010125,-0.002445,-0.00063,0.00753,0.010125,-0.002445,-0.00063
2014-11-30,0.0064,-0.005125,-0.007825,0.001725,0.00768,-0.005125,-0.004695,0.00207,0.00768,-0.005125,-0.004695,0.00207
2014-12-31,-0.000125,0.006325,0.0053,0.002575,-0.00015,0.006325,0.00318,0.00309,-0.00015,0.006325,0.00318,0.00309
2015-01-31,-0.00775,-0.001475,-0.008625,0.00935,-0.0093,-0.001475,-0.005175,0.01122,-0.01085,-0.000885,-0.012075,0.00561
2015-02-28,0.015325,0.001525,-0.004475,-0.00775,0.01839,0.001525,-0.002685,-0.0093,0.021455,0.000915,-0.006265,-0.00465
2015-03-31,-0.002775,0.007625,-0.00095,0.00675,-0.00333,0.007625,-0.00057,0.0081,-0.00333,0.007625,-0.00057,0.0081
2015-04-30,0.001475,-0.007475,0.0045,-0.018175,0.00177,-0.007475,0.0027,-0.02181,0.00177,-0.007475,0.0027,-0.02181
2015-05-31,0.003425,0.002375,-0.002775,0.0142,0.00411,0.002375,-0.001665,0.01704,0.00411,0.002375,-0.001665,0.01704
2015-06-30,-0.0038,0.00735,-0.00205,0.007525,-0.00456,0.00735,-0.00123,0.00903,-0.00456,0.00735,-0.00123,0.00903
